Date,Entry,Option Strike,Option Initial Price,Option Type,Bought Delta,lot_size,Expiry Month,Target Delta,Options PNL,Option Close Date,Option Final Price,Option SL
01-03-2024,INFY-I1710CE,1710,23.75,call,0.341278293,423.2676261,28-03-2024,0.35,9930.705043,28-03-2024,0.05,Expiry
01-04-2024,INFY-I1540CE,1540,29.85,call,0.361030689,467.4457429,25-04-2024,0.35,13790.11686,25-04-2024,0.05,Expiry
26-04-2024,INFY-I1480CE,1480,19.8,call,0.356132119,488.8268156,30-05-2024,0.35,9557.297486,30-05-2024,0.05,Expiry
31-05-2024,INFY-I1440CE,1440,29.8,call,0.389834524,497.5124378,27-06-2024,0.35,-30244.77612,07-06-2024,89.4,Intraday SL Hit
28-06-2024,INFY-I1620CE,1620,26.85,call,0.328299887,446.813264,25-07-2024,0.35,-24473.74972,12-07-2024,80.55,Intraday SL Hit
01-01-2019,HDFCBANK-I970CE,970,95,call,6.92E-12,1302.931596,31-01-2019,0.35,35687.29642,31-01-2019,66,Expiry
01-02-2019,HDFCBANK-I980CE,980,76.6,call,1.48E-14,1339.328422,28-02-2019,0.35,7045.202334,28-02-2019,69.875,Expiry
01-03-2019,HDFCBANK-I1000CE,1000,56,call,1.29E-15,1346.153846,28-03-2019,0.35,-133492.3558,28-03-2019,153.075,Expiry
29-03-2019,HDFCBANK-I1000CE,1000,158.25,call,2.16E-11,1208.981002,25-04-2019,0.35,26975.08636,25-04-2019,133.025,Expiry
26-04-2019,HDFCBANK-I1000CE,1000,147.75,call,7.23E-10,1231.22925,30-05-2019,0.35,-93484.15892,30-05-2019,220,Expiry
31-05-2019,HDFCBANK-I1000CE,1000,226,call,8.28E-10,1154.543955,27-06-2019,0.35,-23292.92429,27-06-2019,241.5,Expiry
28-06-2019,HDFCBANK-I1100CE,1100,134.5,call,5.51E-13,1147.094369,25-07-2019,0.35,104197.4641,25-07-2019,41.9,Expiry
26-07-2019,HDFCBANK-I1070CE,1070,77.5,call,5.99E-12,1230.228471,29-08-2019,0.35,41737.03866,29-08-2019,42.375,Expiry
30-08-2019,HDFCBANK-I1020CE,1020,96.675,call,1.56E-13,1254.536494,26-09-2019,0.35,-167114.6109,26-09-2019,226.65,Expiry
27-09-2019,HDFCBANK-I1300CE,1300,22.8,call,0.363218663,561.9781631,31-10-2019,0.35,12656.5912,31-10-2019,0.05,Expiry
01-11-2019,HDFCBANK-I1290CE,1290,16.05,call,0.363495515,563.0857097,28-11-2019,0.35,8918.714556,28-11-2019,0.05,Expiry
29-11-2019,HDFCBANK-I1320CE,1320,11.15,call,0.37416498,549.0196078,26-12-2019,0.35,6032.627451,26-12-2019,0.05,Expiry
27-12-2019,HDFCBANK-I1340CE,1340,7.75,call,0.338156153,548.5893417,30-01-2020,0.35,4181.347962,30-01-2020,0.05,Expiry
31-01-2020,HDFCBANK-I1360CE,1360,2,call,0.342745648,571.77864,27-02-2020,0.35,1103.246886,27-02-2020,0.05,Expiry
28-02-2020,HDFCBANK-I1300CE,1300,3.05,call,0.356596437,593.824228,26-03-2020,0.35,1763.064133,26-03-2020,0.05,Expiry
27-03-2020,HDFCBANK-I1020CE,1020,38,call,0.347343733,777.7777778,30-04-2020,0.35,29220.72222,30-04-2020,0.05,Expiry
04-05-2020,HDFCBANK-I1020CE,1020,15.85,call,0.358527924,756.8385771,28-05-2020,0.35,11837.71219,28-05-2020,0.05,Expiry
29-05-2020,HDFCBANK-I1060CE,1060,6.55,call,0.349415181,738.6303683,25-06-2020,0.35,-13898.06901,03-06-2020,25.05,Overnight SL Hit
26-06-2020,HDFCBANK-I1210CE,1210,5.85,call,0.344059571,661.6257089,30-07-2020,0.35,3798.393195,30-07-2020,0.05,Expiry
31-07-2020,HDFCBANK-I1160CE,1160,9.25,call,0.346674713,677.0153296,27-08-2020,0.35,6165.578606,27-08-2020,0.05,Expiry
28-08-2020,HDFCBANK-I1260CE,1260,4.3,call,0.338611892,626.3982103,24-09-2020,0.35,2634.944072,24-09-2020,0.05,Expiry
25-09-2020,HDFCBANK-I1100CE,1100,15.4,call,0.36423392,671.4306268,29-10-2020,0.35,-21093.66457,05-10-2020,46.2,Intraday SL Hit
30-10-2020,HDFCBANK-I1240CE,1240,20.75,call,0.362154132,592.0162382,26-11-2020,0.35,-25060.04736,06-11-2020,62.25,Intraday SL Hit
