ticker,Option Open Date,Spot Price,Option Strike,Option Initial Price,Option Final Price,Option Close Date,Options PNL,lot_size,Options SL,Re-entry,Reentry Count,Nifty Spot Price,Nifty Option Strike,Nifty Option Final Price,Nifty Option Initial Price,Nifty Option Close Date,Nifty lot_size,Nifty Options PNL,Option SL,,
BAJAJ_AUTO.EQ-NSE,07-05-2021,3869,3800,69.4,0.05,27-05-2021,12421.51719,180.9253037,0,FALSE,0,14823.15,14650,0.1,196.35,0,47.22343092,9360.368748,No SL Hit,99.93%,-99.95%
BAJAJ_AUTO.EQ-NSE,04-06-2021,4240,4150,49.5,105,17-06-2021,-9417.806604,165.0943396,0,FALSE,0,15670.25,15500,84.4,118,0,44.67063384,1591.34666,Overnight SL Hit,-112.12%,-28.47%
BAJAJ_AUTO.EQ-NSE,09-07-2021,3997,3900,53.1,106.2,22-07-2021,-9578.458844,175.1313485,0,FALSE,0,15689.8,15550,18.35,109.3,0,44.61497278,4114.682788,Intraday SL Hit,-100.00%,-83.21%
BAJAJ_AUTO.EQ-NSE,06-08-2021,3850.05,3800,54,108,11-08-2021,-10112.59594,181.8158206,0,FALSE,0,16238.2,16050,69.75,90.55,0,43.10822628,965.7535934,Intraday SL Hit,-100.00%,-22.97%
BAJAJ_AUTO.EQ-NSE,13-09-2021,3694.8999,3650,58.95,0.05,30-09-2021,11046.84866,189.4503285,0,FALSE,0,17355.3,17200,0.05,111.3,0,40.33350043,4532.013275,No SL Hit,99.92%,-99.96%
BAJAJ_AUTO.EQ-NSE,08-10-2021,3818,3750,80.4,63.45,28-10-2021,2843.910424,183.3420639,0,FALSE,0,17895.2,17750,0.05,163.5,0,39.11663463,6457.589186,No SL Hit,21.08%,-99.97%
BAJAJ_AUTO.EQ-NSE,08-11-2021,3773.5,3700,43.2,86.4,12-11-2021,-8254.193719,185.5041738,0,FALSE,0,18068.55,17900,86.1,127.9,0,38.74134892,1702.294871,Intraday SL Hit,-100.00%,-32.68%
BAJAJ_AUTO.EQ-NSE,10-12-2021,3344.6001,3300,48.5,97,17-12-2021,-10455.21107,209.2925848,0,FALSE,0,17511.3,17350,394,151.05,0,39.9741881,-9493.849686,Intraday SL Hit,-100.00%,160.84%
BAJAJ_AUTO.EQ-NSE,07-01-2022,3399.8999,3340,49.9,0.05,27-01-2022,10160.6962,205.8884145,0,FALSE,0,17812.7,17650,539.95,176.25,0,39.29780438,-14011.16058,No SL Hit,99.90%,206.35%
BAJAJ_AUTO.EQ-NSE,04-02-2022,3564.95,3500,54.45,23.25,24-02-2022,5973.744372,196.3561901,0,FALSE,0,17516.3,17350,1107.35,215.1,0,39.96277753,-35128.3005,No SL Hit,57.30%,414.81%
